id,district,crime_type,crime_category,year,crime_count,latitude,longitude,crime_rate,ipc_cases,sll_cases,total_cases,conviction_rate,chargesheet_rate,pendency_rate,police_range,risk_level,source_table
145,Mangaluru City,Murder,Violent Crime,2024,10,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 2A.1 - Murder Cases 2022-2024
146,Mangaluru City,Kidnapping & Abduction,Violent Crime,2024,53,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
147,Mangaluru City,Crime Against Women,Crime Against Women,2024,280,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 3.1 - Crime against Women (IPC+SLL)
148,Mangaluru City,Economic Offence,Financial Crime,2024,131,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 9.1 - Economic Offences (District-wise)
149,Mangaluru City,Cyber Crime,Cyber Crime,2024,137,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 10.1 - Cyber Crimes (District-wise)
150,Mangaluru City,Missing Persons,Public Safety,2024,17,12.9141,74.856,181.3,2103,1644,3747,57.2,84.2,75.9,Commissionerate,High,Table 14.1 - Missing and Traced Children (District-wise)
151,Mysuru City,Murder,Violent Crime,2024,22,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 2A.1 - Murder Cases 2022-2024
152,Mysuru City,Kidnapping & Abduction,Violent Crime,2024,61,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
153,Mysuru City,Crime Against Women,Crime Against Women,2024,363,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 3.1 - Crime against Women (IPC+SLL)
154,Mysuru City,Economic Offence,Financial Crime,2024,175,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 9.1 - Economic Offences (District-wise)
155,Mysuru City,Cyber Crime,Cyber Crime,2024,260,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 10.1 - Cyber Crimes (District-wise)
156,Mysuru City,Missing Persons,Public Safety,2024,36,12.2958,76.6394,140.2,2523,627,3150,56.1,78.4,93.0,Commissionerate,High,Table 14.1 - Missing and Traced Children (District-wise)
157,Mysuru District,Murder,Violent Crime,2024,49,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 2A.1 - Murder Cases 2022-2024
158,Mysuru District,Kidnapping & Abduction,Violent Crime,2024,117,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
159,Mysuru District,Crime Against Women,Crime Against Women,2024,602,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
160,Mysuru District,Economic Offence,Financial Crime,2024,104,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 9.1 - Economic Offences (District-wise)
161,Mysuru District,Cyber Crime,Cyber Crime,2024,46,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 10.1 - Cyber Crimes (District-wise)
162,Mysuru District,Missing Persons,Public Safety,2024,55,12.3052,76.6552,184.6,4885,735,5620,35.2,86.7,83.5,Southern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
163,Raichur,Murder,Violent Crime,2024,39,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 2A.1 - Murder Cases 2022-2024
164,Raichur,Kidnapping & Abduction,Violent Crime,2024,52,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
165,Raichur,Crime Against Women,Crime Against Women,2024,523,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
166,Raichur,Economic Offence,Financial Crime,2024,114,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 9.1 - Economic Offences (District-wise)
167,Raichur,Cyber Crime,Cyber Crime,2024,21,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
168,Raichur,Missing Persons,Public Safety,2024,24,16.2076,77.3463,105.0,2798,1464,4262,41.9,85.5,93.8,Ballari Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
169,KRailways,Murder,Violent Crime,2024,13,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 2A.1 - Murder Cases 2022-2024
170,KRailways,Kidnapping & Abduction,Violent Crime,2024,4,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 2B.1 - Kidnapping & Abduction (District-wise)
171,KRailways,Crime Against Women,Crime Against Women,2024,18,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 3.1 - Crime against Women (IPC+SLL)
172,KRailways,Economic Offence,Financial Crime,2024,3,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 9.1 - Economic Offences (District-wise)
173,KRailways,Cyber Crime,Cyber Crime,2024,0,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 10.1 - Cyber Crimes (District-wise)
174,KRailways,Missing Persons,Public Safety,2024,3,12.9716,77.5946,0.0,864,93,957,0.0,32.8,93.1,Railways,Low,Table 14.1 - Missing and Traced Children (District-wise)
175,Ramanagara,Murder,Violent Crime,2024,39,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 2A.1 - Murder Cases 2022-2024
176,Ramanagara,Kidnapping & Abduction,Violent Crime,2024,120,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
177,Ramanagara,Crime Against Women,Crime Against Women,2024,526,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 3.1 - Crime against Women (IPC+SLL)
178,Ramanagara,Economic Offence,Financial Crime,2024,145,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 9.1 - Economic Offences (District-wise)
179,Ramanagara,Cyber Crime,Cyber Crime,2024,236,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 10.1 - Cyber Crimes (District-wise)
180,Ramanagara,Missing Persons,Public Safety,2024,69,12.7159,77.2812,348.7,4010,805,4815,61.4,76.6,97.3,Central Range,High,Table 14.1 - Missing and Traced Children (District-wise)
181,Shimoga,Murder,Violent Crime,2024,36,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 2A.1 - Murder Cases 2022-2024
182,Shimoga,Kidnapping & Abduction,Violent Crime,2024,109,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
183,Shimoga,Crime Against Women,Crime Against Women,2024,817,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
184,Shimoga,Economic Offence,Financial Crime,2024,222,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 9.1 - Economic Offences (District-wise)
185,Shimoga,Cyber Crime,Cyber Crime,2024,123,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 10.1 - Cyber Crimes (District-wise)
186,Shimoga,Missing Persons,Public Safety,2024,60,13.9299,75.5681,240.2,4588,1825,6413,32.1,79.5,73.7,Eastern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
187,Tumakuru,Murder,Violent Crime,2024,52,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 2A.1 - Murder Cases 2022-2024
188,Tumakuru,Kidnapping & Abduction,Violent Crime,2024,154,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
189,Tumakuru,Crime Against Women,Crime Against Women,2024,858,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 3.1 - Crime against Women (IPC+SLL)
190,Tumakuru,Economic Offence,Financial Crime,2024,271,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 9.1 - Economic Offences (District-wise)
191,Tumakuru,Cyber Crime,Cyber Crime,2024,322,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 10.1 - Cyber Crimes (District-wise)
192,Tumakuru,Missing Persons,Public Safety,2024,75,13.3379,77.1173,226.0,6352,1862,8214,54.3,78.8,90.6,Central Range,High,Table 14.1 - Missing and Traced Children (District-wise)
193,Udupi,Murder,Violent Crime,2024,6,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 2A.1 - Murder Cases 2022-2024
194,Udupi,Kidnapping & Abduction,Violent Crime,2024,35,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
195,Udupi,Crime Against Women,Crime Against Women,2024,248,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 3.1 - Crime against Women (IPC+SLL)
196,Udupi,Economic Offence,Financial Crime,2024,172,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 9.1 - Economic Offences (District-wise)
197,Udupi,Cyber Crime,Cyber Crime,2024,203,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 10.1 - Cyber Crimes (District-wise)
198,Udupi,Missing Persons,Public Safety,2024,19,13.3409,74.7421,213.1,2707,645,3352,61.5,80.8,76.0,Western Range,High,Table 14.1 - Missing and Traced Children (District-wise)
199,Uttara Kannada,Murder,Violent Crime,2024,17,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 2A.1 - Murder Cases 2022-2024
200,Uttara Kannada,Kidnapping & Abduction,Violent Crime,2024,66,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
201,Uttara Kannada,Crime Against Women,Crime Against Women,2024,442,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 3.1 - Crime against Women (IPC+SLL)
202,Uttara Kannada,Economic Offence,Financial Crime,2024,104,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 9.1 - Economic Offences (District-wise)
203,Uttara Kannada,Cyber Crime,Cyber Crime,2024,96,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 10.1 - Cyber Crimes (District-wise)
204,Uttara Kannada,Missing Persons,Public Safety,2024,20,14.7938,74.6996,166.3,2577,906,3483,46.4,78.8,75.4,Western Range,High,Table 14.1 - Missing and Traced Children (District-wise)
205,Yadgiri,Murder,Violent Crime,2024,21,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 2A.1 - Murder Cases 2022-2024
206,Yadgiri,Kidnapping & Abduction,Violent Crime,2024,38,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
207,Yadgiri,Crime Against Women,Crime Against Women,2024,301,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
208,Yadgiri,Economic Offence,Financial Crime,2024,43,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 9.1 - Economic Offences (District-wise)
209,Yadgiri,Cyber Crime,Cyber Crime,2024,19,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
210,Yadgiri,Missing Persons,Public Safety,2024,2,16.7692,77.1376,103.4,1582,898,2480,25.3,79.7,76.8,Kalaburagi Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
211,Belagavi City,Murder,Violent Crime,2024,15,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 2A.1 - Murder Cases 2022-2024
212,Belagavi City,Kidnapping & Abduction,Violent Crime,2024,45,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
213,Belagavi City,Crime Against Women,Crime Against Women,2024,223,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 3.1 - Crime against Women (IPC+SLL)
214,Belagavi City,Economic Offence,Financial Crime,2024,109,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 9.1 - Economic Offences (District-wise)
215,Belagavi City,Cyber Crime,Cyber Crime,2024,102,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 10.1 - Cyber Crimes (District-wise)
216,Belagavi City,Missing Persons,Public Safety,2024,22,15.8497,74.4977,62.5,1730,394,2124,31.3,65.4,80.3,Commissionerate,Medium,Table 14.1 - Missing and Traced Children (District-wise)
217,Kalaburgi City,Murder,Violent Crime,2024,25,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 2A.1 - Murder Cases 2022-2024
218,Kalaburgi City,Kidnapping & Abduction,Violent Crime,2024,69,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
219,Kalaburgi City,Crime Against Women,Crime Against Women,2024,263,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 3.1 - Crime against Women (IPC+SLL)
220,Kalaburgi City,Economic Offence,Financial Crime,2024,89,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 9.1 - Economic Offences (District-wise)
221,Kalaburgi City,Cyber Crime,Cyber Crime,2024,30,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 10.1 - Cyber Crimes (District-wise)
222,Kalaburgi City,Missing Persons,Public Safety,2024,22,17.3297,76.8343,115.9,1808,561,2369,47.4,65.8,92.0,Commissionerate,Medium,Table 14.1 - Missing and Traced Children (District-wise)
223,Vijayanagara,Murder,Violent Crime,2024,21,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 2A.1 - Murder Cases 2022-2024
224,Vijayanagara,Kidnapping & Abduction,Violent Crime,2024,53,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
225,Vijayanagara,Crime Against Women,Crime Against Women,2024,336,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
226,Vijayanagara,Economic Offence,Financial Crime,2024,75,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 9.1 - Economic Offences (District-wise)
227,Vijayanagara,Cyber Crime,Cyber Crime,2024,22,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
228,Vijayanagara,Missing Persons,Public Safety,2024,22,15.2696,76.4693,101.7,1688,1291,2979,47.0,80.1,81.8,Ballari Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
